Case ID,Activity,Complete Timestamp
173688,A_SUBMITTED,2011-01-10 00:38:44.546000
173688,A_PARTLYSUBMITTED,2011-01-10 00:38:44.880000
173688,A_PREACCEPTED,2011-01-10 00:39:37.906000
173688,A_ACCEPTED,2011-01-10 11:42:43.308000
173688,A_FINALIZED,2011-01-10 11:45:09.243000
173688,A_REGISTERED,2011-13-10 10:37:29.226000
173688,A_APPROVED,2011-13-10 10:37:29.226000
173688,A_ACTIVATED,2011-13-10 10:37:29.226000
173691,A_SUBMITTED,2011-01-10 08:08:58.256000
173691,A_PARTLYSUBMITTED,2011-01-10 08:09:02.195000
173691,A_PREACCEPTED,2011-01-10 08:09:56.648000
173691,A_ACCEPTED,2011-01-10 14:33:54.614000
173691,A_FINALIZED,2011-01-10 14:35:46.016000
173691,A_APPROVED,2011-10-10 14:17:26.307000
173691,A_REGISTERED,2011-10-10 14:17:26.307000
173691,A_ACTIVATED,2011-10-10 14:17:26.307000
173694,A_SUBMITTED,2011-01-10 08:10:30.287000
173694,A_PARTLYSUBMITTED,2011-01-10 08:10:30.591000
173694,A_PREACCEPTED,2011-01-10 08:11:13.026000
173694,A_ACCEPTED,2011-03-10 13:34:25.421000
173694,A_FINALIZED,2011-03-10 13:40:14.632000
173694,A_APPROVED,2011-04-11 16:04:52.612000
173694,A_REGISTERED,2011-04-11 16:04:52.612000
173694,A_ACTIVATED,2011-04-11 16:04:52.612000
173697,A_SUBMITTED,2011-01-10 08:11:08.866000
173697,A_PARTLYSUBMITTED,2011-01-10 08:11:09.035000
173697,A_DECLINED,2011-01-10 08:11:46.420000
173700,A_SUBMITTED,2011-01-10 08:15:39.894000
173700,A_PARTLYSUBMITTED,2011-01-10 08:15:40.102000
173700,A_DECLINED,2011-01-10 08:16:21.037000
173703,A_SUBMITTED,2011-01-10 09:45:25.806000
173703,A_PARTLYSUBMITTED,2011-01-10 09:45:25.981000
173703,A_PREACCEPTED,2011-01-10 09:46:18.211000
173703,A_CANCELLED,2011-01-10 13:02:11.068000
173706,A_SUBMITTED,2011-01-10 09:45:37.274000
173706,A_PARTLYSUBMITTED,2011-01-10 09:45:37.363000
173706,A_PREACCEPTED,2011-01-10 10:16:48.956000
173706,A_DECLINED,2011-01-10 14:59:58.557000
173709,A_SUBMITTED,2011-01-10 09:57:42.994000
173709,A_PARTLYSUBMITTED,2011-01-10 09:57:43.182000
173709,A_PREACCEPTED,2011-01-10 09:58:27.038000
173709,A_CANCELLED,2011-01-11 09:15:08.387000
173712,A_SUBMITTED,2011-01-10 09:58:30.533000
173712,A_PARTLYSUBMITTED,2011-01-10 09:58:30.678000
173712,A_PREACCEPTED,2011-01-10 10:10:24.737000
173712,A_CANCELLED,2011-03-10 14:42:53.820000
173715,A_SUBMITTED,2011-01-10 09:59:10.501000
173715,A_PARTLYSUBMITTED,2011-01-10 09:59:10.789000
173715,A_PREACCEPTED,2011-01-10 09:59:42.704000
173715,A_ACCEPTED,2011-01-10 12:24:32.787000
173715,A_FINALIZED,2011-01-10 12:30:20.556000
173715,A_DECLINED,2011-13-10 11:05:24.620000
173718,A_SUBMITTED,2011-01-10 10:37:39.363000
173718,A_PARTLYSUBMITTED,2011-01-10 10:37:39.657000
173718,A_PREACCEPTED,2011-01-10 10:38:20.967000
173718,A_ACCEPTED,2011-01-10 10:42:21.977000
173718,A_FINALIZED,2011-01-10 10:44:40.725000
173718,A_APPROVED,2011-27-10 09:17:53.327000
173718,A_REGISTERED,2011-27-10 09:17:53.328000
173718,A_ACTIVATED,2011-27-10 09:17:53.328000
173721,A_SUBMITTED,2011-01-10 11:07:34.279000
173721,A_PARTLYSUBMITTED,2011-01-10 11:07:34.928000
173721,A_PREACCEPTED,2011-01-10 11:08:17.093000
173721,A_ACCEPTED,2011-01-10 11:18:36.318000
173721,A_FINALIZED,2011-01-10 11:20:47.605000
